IBP	Institute of Biology and Soil Sciences	Far Eastern Branch	Russian Academy of Sciences	Vladivostok	Russia	Institute of Biology and Soil Sciences, Far Eastern Branch, Russian Academy of Sciences, Vladivostok, Russia
IBSP	Instituto Biologico		Secretaria de Estado da Agricultura e Abastecimento	Sao Paulo	Brazil	Instituto Biologico, Sao Paulo, Brazil
IBUT	Instituto Butantan			Sao Paulo	Brazil	Instituto Butantan, Sao Paulo, Brazil
ICRI	Research Institute of Entomology	Insect Collection	Sun Yat-Sen [=Zhongshan] University	Guangzhou	China	Research Institute of Entomology, Insect Collection, Sun Yat-Sen [=Zhongshan] University, Guangzhou, China
IEME	A. N. Severtsov Institute for Ecology and Evolution	Laboratory of Insects Morphology and Ecology	Russian Academy of Sciences	Moscow	Russia	A. N. Severtsov Institute for Ecology and Evolution, Laboratory of Insects Morphology and Ecology, Russian Academy of Sciences, Moscow, Russia
IEUP	Istituto di Entomologia		Universita degli Studi	Pavia	Italy	Istituto di Entomologia, Pavia, Italy
IEXV	Instituto de Ecologia, A.C.	Entomological Collection		Xalapa	Mexico	Instituto de Ecologia, A.C., Entomological Collection, Xalapa, Mexico
IGPUG	Geowissenschaftliches Zentrum der Universitat Gottingen	Museum der geologischen Institute	Georg-August-Universitat	Gottingen	Germany	Geowissenschaftliches Zentrum der Universitat Gottingen, Museum der geologischen Institute, Georg-August-Universitat, Gottingen, Germany
IGUT	Institut fur Geowissenschaften		Eberhard Karls Universitat Tubingen	Tubingen	Germany	Institut fur Geowissenschaften, Tubingen, Germany
IHC	Instituto de Higiene			Caracas	Venezuela	Instituto de Higiene, Caracas, Venezuela
IMEM	"Instituto Malariologia ""Ettore Marchiafava"""			Rome	Italy	"Instituto Malariologia ""Ettore Marchiafava"", Rome, Italy"
IML	Fundacion Miguel Lillo			San Miguel de Tucuman	Argentina	Fundacion Miguel Lillo, San Miguel de Tucuman, Argentina
INBIO	Instituto Nacional de Biodiversidad			Santo Domingo de Heredia	Costa Rica	Instituto Nacional de Biodiversidad, Santo Domingo de Heredia, Costa Rica
INER	Museo di Zoologia		"Universita di Roma ""La Sapienza"""	Rome	Italy	Museo di Zoologia, Rome, Italy
INHS	Illinois Natural History Survey	Insect Collection		Champaign	United States	Illinois Natural History Survey, Insect Collection, Champaign, United States
INLA	Centro Experimental de Entomologia La Cruz		Instituto de Investigaciones Agropecuarias (INIA)	La Cruz	Chile	Centro Experimental de Entomologia La Cruz, La Cruz, Chile
INM	Instituto Nacional de Microbiologia			Buenos Aires	Argentina	Instituto Nacional de Microbiologia, Buenos Aires, Argentina
INPA	Departamento de Entomologia	Colecao Sistematica da Entomologia	Instituto Nacional de Pesquisas da Amazonia	Manaus	Brazil	Departamento de Entomologia, Colecao Sistematica da Entomologia, Instituto Nacional de Pesquisas da Amazonia, Manaus, Brazil
INPC	Indian Agricultural Research Institute	Division of Entomology, National Pusa Collections		New Delhi	India	Indian Agricultural Research Institute, Division of Entomology, National Pusa Collections, New Delhi, India
INRA	Centre de Recherche de Montpellier			Montpellier	France	Centre de Recherche de Montpellier, Montpellier, France
INSL	Instituto Nacional de Salud	Entomological Collection		Lima	Peru	Instituto Nacional de Salud, Entomological Collection, Lima, Peru
IOC	Fundacao Instituto Oswaldo Cruz			Rio de Janeiro	Brazil	Fundacao Instituto Oswaldo Cruz, Rio de Janeiro, Brazil
IPP	Institut Pasteur			Paris	France	Institut Pasteur, Paris, France
IPPE	Shanghai Institute of Plant Physiology and Ecology	Shanghai Entomological Museum	Chinese Academy of Sciences	Shanghai	China	Shanghai Institute of Plant Physiology and Ecology, Shanghai Entomological Museum, Chinese Academy of Sciences, Shanghai, China
IPS	Institut de Parasitologie et de Pathologie Tropicale		Universite Louis Pasteur Strasbourg	Strasbourg	France	Institut de Parasitologie et de Pathologie Tropicale, Strasbourg, France
IPV	Instituto de Patobiologia		Instituto Nacional de Tecnologia Agropecuaria	Castelar	Argentina	Instituto de Patobiologia, Castelar, Argentina
IRD	Institut de Recherche pour le Developpement	Laboratoire de Taxonomie des Vecteurs		Montpellier	France	Institut de Recherche pour le Developpement, Laboratoire de Taxonomie des Vecteurs, Montpellier, France
IRSM	Institut Recherche Scientifique de Madagascar			Tananarive	Madagascar	Institut Recherche Scientifique de Madagascar, Tananarive, Madagascar
IRSNB	Institut Royal des Sciences Naturelles de Belgique	Departement d'Entomologie		Brussels	Belgium	Institut Royal des Sciences Naturelles de Belgique, Departement d'Entomologie, Brussels, Belgium
ISET	Instituto de Salubridad y Enfermedades Tropicales			Mexico	Mexico	Instituto de Salubridad y Enfermedades Tropicales, Mexico, Mexico
