bb28cdca-2f8a-4f11-9c21-517e9ae87f1f	http://rs.gbif.org/terms/1.0/nomenclaturalStatus	verbal	verbal
3b8a8519-420f-4dfa-b050-b410cc257961	alternativum	Alternative	nom. altern.
90f5012b-705b-4488-b4c6-002d2bc5198e	ambigua	Ambiguous	nom. ambig.
f858e619-7b7f-4225-913b-880a2143ec83		Combination Invalid	comb. inval.
d901d455-4e01-45cb-b653-01a840b97eed		Combination Illegitimate	comb. illeg.
24955174-aa5c-4e71-a2fd-3efc79e885db	confusum	Confusum	nom. confus.
6330f719-e2bc-485f-892b-9f882058a966	conservandum	Conserved	nom. cons.
82bab006-5aed-4301-93ec-980deb30cbb1	conservandumProp	Conserved Prop	nom. cons. prop.
0ffeb39e-872e-4c0f-85ba-a4150d9f9e7d	dubium	Doubtful	nom. dub.
b7c544cf-a375-4145-9d3e-4b97f3f18108	illegitimum	Illegitimate	nom. illeg.
b09d4f51-8a77-442a-bbce-e7832aaf46b7	invalidum	Invalid	nom. inval.
51a3613c-b53b-4561-b0cd-9163d91c15aa	legitimate	Legitimate	nom. legit.
05fcb68f-af60-4851-b912-892512058897	novum	Novum	nom. nov.
e0d733a8-7777-4b27-99a3-05ab50e9f312	nudum	Nudum	nom. nud.
a5055d80-dbba-4660-b091-a1835d59fe7c	oppressa	Opus Utique Oppr	opus. utique oppr.
34a7d383-988b-4117-b8c0-52b947f8c711		Orthography Conserved	nom. orth. cons.
02f82bc5-1066-454b-a023-11967cba9092		Orthography Conserved Prop	nom. orth. cons. prop.
a277507e-ad93-4978-9419-077eb889c951	provisorium	Provisional	nom. provis.
48107cc8-7a5b-482e-b438-efbba050b851	rejiciendum	Rejected	nom. rej.
248e44c2-5436-4526-a352-f7467ecebd56	rejiciendumProp	Rejected Prop	nom. rej. prop.
1afe55c4-76aa-46c0-afce-4dc07f512733		Sanctioned	nom. sanct.
92a76bd0-6ea8-493f-98e0-4be0b98c092f	subnudum	Subnudum	nom. subnud.
6890483a-c6ba-4ae1-9ab1-9fbaa5736ce9	superfluum	Superfluous	nom. superfl.
04338fdd-c12a-402f-a1ca-68b4bf0be042	rejiciendumUtique	Utique Rejected	nom. utique rej.
643ee07f-026c-426c-b838-c778c8613383	rejiciendumUtiqueProp	Utique Rejected Prop	nom. utique rej. prop.
bd036217-5499-4ccd-8f4c-72e06158db93	valid	Valid	nom. valid
//abortivum,available,combinatio,negatum,oblitum,protectum,orthographia 
