"e25fbf49-c4a1-4c98-944c-3999d3dc9b51",,"Berber (Other)","Berber (Other)","ber",,"ber"
"4fb5c849-a07a-4a5c-9886-4d957605d600",,"Bhojpuri","Bhojpuri","bho",,"bho"
"6720fbd6-7668-418e-8d48-a1bfe2f56ac9",,"Bihari","Bihari","bih","bh","bih"
"dc4f5a15-8b94-47d4-bd3e-22c8b79e22af",,"Bikol","Bikol","bik",,"bik"
"2b024ede-442e-4915-9cce-9e61fa0f3574",,"Bini; Edo","Bini; Edo","bin",,"bin"
"84633f7a-7dc6-41bf-a5c3-2882e691c974",,"Bislama","Bislama","bis","bi","bis"
"876ed782-f285-4395-b4d9-c8871a18e822",,"Siksika","Siksika","bla",,"bla"
"8b4f894a-dac4-4a0a-957c-6ca9c5081672",,"Bantu (Other)","Bantu (Other)","bnt",,"bnt"
"e7e7f3c6-68b4-42aa-a7ce-e3748ecd504e",,"Bosnian","Bosnian","bos","bs","bos"
"374814fe-1c3d-46aa-9a95-e8d5fe7108e8",,"Braj","Braj","bra",,"bra"
"7cafd5d8-b61d-4942-b9c9-c2dcadefb22c",,"Breton","Breton","bre","br","bre"
"4c6285d7-befc-4329-b27f-3a213969c9cf",,"Batak languages","Batak languages","btk",,"btk"
"beb5c17f-d561-40ca-8ed9-4a643ea10f63",,"Buriat","Buriat","bua",,"bua"
"bce6190e-f45b-43bf-bc99-ca527b1d2598",,"Buginese","Buginese","bug",,"bug"
"6a3409a6-4804-4b6f-9efb-179003523e11",,"Bulgarian","Bulgarian","bul","bg","bul"
"2eee09b8-57eb-4087-9538-7bf4e8312594",,"Burmese","Burmese","bur","my","bur"
"32e8a660-ad9d-4402-ac2a-7c2c545a94f6",,"Blin; Bilin","Blin; Bilin","byn",,"byn"
"cceeeeba-158f-4b18-916a-a329cb03414e",,"Caddo","Caddo","cad",,"cad"
"15f73328-e7ad-4a6b-a31e-6477bd978e87",,"Central American Indian (Other)","Central American Indian (Other)","cai",,"cai"
"f3964fe0-7625-431f-8155-b646d1671b44",,"Galibi Carib","Galibi Carib","car",,"car"
"45d05a7a-ee78-462c-a177-6fd743cf4d03",,"Catalan; Valencian","Catalan; Valencian","cat","ca","cat"
"f6d6297f-00c4-4833-8f7b-001d2c3418e5",,"Caucasian (Other)","Caucasian (Other)","cau",,"cau"
"394994b3-576a-484d-a57f-e207deece4c8",,"Cebuano","Cebuano","ceb",,"ceb"
"ddb2fe99-1841-49ac-9686-0149771f0887",,"Celtic (Other)","Celtic (Other)","cel",,"cel"
"6b7505cc-4a1e-47be-8374-8612deaba8e7",,"Chamorro","Chamorro","cha","ch","cha"
"5731c457-580c-4543-a227-b0ca0c0b9d0e",,"Chibcha","Chibcha","chb",,"chb"
"569d40d8-5c04-4b0a-8606-61fd91d498b5",,"Chechen","Chechen","che","ce","che"
"4c2cfc13-efbb-4aa1-88b5-960adc8c29a0",,"Chagatai","Chagatai","chg",,"chg"
"a9fc2782-5b2a-466f-b9c3-64d9ca6614c4",,"Chinese","Chinese","chi","zh","chi"
"f5199701-8265-492f-bbce-5d545642120d",,"Chuukese","Chuukese","chk",,"chk"
"f5a3dd7e-d3ff-4db2-8213-5fb36faad4e6",,"Mari","Mari","chm",,"chm"
"c8e3e73c-fb9b-44e2-8bb3-7c91cd423b40",,"Chinook jargon","Chinook jargon","chn",,"chn"
"3b3fd5bd-009a-401a-8136-9a6c0c2705d0",,"Choctaw","Choctaw","cho",,"cho"
"13ef4b98-3a37-4bed-9bee-96d3a10eed02",,"Chipewyan; Dene Suline","Chipewyan; Dene Suline","chp",,"chp"
