"fa032b1a-1ad2-4fb0-a1d9-3016399a80fa",,"NomenclaturalCode","NomenclaturalCode",
"ff4b0979-7abf-4b40-95c0-8b8b1e8a4d5e",,"International Code of Nomenclature of Bacteria","ICNB",
"540fc02a-8a8e-4813-89d2-581dad4dd482",,"International Code of Botanical Nomenclature","ICBN",
"65a432b5-92b1-4c9a-8090-2a185e423d2e",,"International Code of Nomenclature for Cultivated Plants","ICNCP",
"b584c2f8-dbe5-4454-acad-2b45e63ec11b",,"International Code of Zoological Nomenclature","ICZN",
"e9d6d6b4-ccb7-4f28-b828-0b1501f8c75a",,"International Code of Virus Classification and Nomenclature","ICVCN",
