"5cd438c8-a8a1-4958-842e-169e83e2ceee",,"AbsenceTerm","AbsenceTerm",
"59709861-f7d9-41f9-bb21-92559cedd598",,"absent","absent","a","ffffff",
"38604788-cf05-4607-b155-86db456f7680",,"reported in error","reported in error","f","cccccc"
"61cee840-801e-41d8-bead-015ad866c2f1",,"native: reported in error","native: reported in error","nf","fdb462",
"aeec2947-2700-4623-8e32-9e3a430569d1",,"introduced: reported in error","introduced: reported in error","if","ffed3f",
"9d4d3431-177a-4abe-8e4b-1558573169d6",,"cultivated: reported in error","cultivated: reported in error","cf","fccde5",
"5c397f7b-59ef-4c11-a33c-45691ceda91b",,"native: formerly native","native: formerly native","ne","ccb462",
"b74dc30b-ee93-496d-8c00-4d00abae1ec7",,"introduced: formerly introduced","introduced: formerly introduced","ie","ccebcc",
