"bff22f84-553a-4429-a4e7-c4b3796c3a18",,"Subsubvariety","Subsubvariety",
"2cc740c9-cebb-43c8-9b06-1bef79e6a56a",,"Convar","Convar","convar."
"0461281e-458a-47b9-8d41-19a3d39356d5",,"Form","Form","f.",
"bed20aee-2f5a-4635-9c02-eff06246d067",,"Special Form","Special Form","f.spec.",
"47cfc5b0-0fb7-4ceb-b61d-e1dd8de8b569",,"Subform","Subform","subf.",
"1c8ac389-4349-4ae0-87be-7239f6635068",,"Subsubform","Subsubform",
"eb75c27d-e154-4570-9d96-227b2df60474",,"Infraspecific Taxon","Infraspecific Taxon","t.infr."
"ead9a1f5-dfd4-4de2-9121-70a47accb10b",,"Candidate","Candidate",
"49bdf74a-2170-40ed-8be2-887a0db517bf",,"Denomination Class","Denomination Class",
"08dcb4ff-ac58-48a3-93af-efb3d836ac84",,"Grex","Grex","grex"
"6b4063bc-f934-4796-9bf3-0ef3aea5c1cb",,"Graft Chimaera","Graft Chimaera",
"d763e7d3-e7de-4bb1-9d75-225ca6948659",,"Cultivar Group","Cultivar Group",
"5e98415b-dc6e-440b-95d6-ea33dbb39ad0",,"Cultivar","Cultivar",
"5c4d6755-2cf6-44ca-9220-cccf8881700b",,"Unknown Rank","Unknown Rank","unknown"
"a965befb-70a9-4747-a18f-624456c65223",,"Unranked Rank: The name on purpose has no rank","Unranked","[unranked]"
