"006b1870-7347-4624-990f-e5ed78484a1a","Country","
"083ff0fc-9eea-4f1b-80c0-f203bd2890b8","Cape Verde","Cabo Verde","Cabo Verde","CPV"
"aca508c7-2d49-4760-83cb-93b6ccce6751","Costa Rica","Costa Rica","Costa Rica","CRI"
"229f0575-9035-4738-8741-f131cad59107","Cuba","Cuba","Cuba","CUB"
"41d3dd57-e1e0-4d88-94be-ef163fb9dd82","Curaçao","Curazao","Curaçao","CUW"
"e785a72e-2b51-42b9-bea0-888924906b3e","Christmas Island","Isla de Navidad","Navidad, Isla de","CXR"
"23264b59-fcc9-47a0-9f69-30a98757c121","Cayman Islands","Islas Caimán","Caimán, (las) Islas","CYM"
"4b13d6b8-7eca-4d42-8172-f2018051ca19","Cyprus","Chipre","Chipre","CYP"
"56ee8c08-506d-4c27-9c31-db5344356ea3","Czech Republic","República Checa","Chequia","CZE"
"cbe7ce69-2952-4309-85dd-0d7d4a4830a1","Germany","Alemania","Alemania","DEU"
"8c80ca2b-e6e6-46bc-9f35-978a1a078a55","Djibouti","Yibuti","Yibuti","DJI"
"c8ef3805-69dd-4e84-ab69-c813252910dd","Dominica","Dominica","Dominica","DMA"
"dbf70b64-a47e-4339-ae07-828f9ff2b7d8","Denmark","Dinamarca","Dinamarca","DNK"
"1c2084e4-38cc-41d1-9d33-0360fed7c55d","Dominican Republic","República Dominicana","Dominicana, (la) República","DOM"
"a14b38ac-e963-4c1a-85c2-de1f17f8c72a","Algeria","Argelia","Argelia","DZA"
"e396160a-3554-4da8-ad40-cd7137c021d7","Ecuador","Ecuador","Ecuador","ECU"
"3c4a2a5a-d3d7-4c82-a28f-2feaa7050c04","Egypt","Egipto","Egipto","EGY"
"8394a73d-a0c6-481c-8e86-e05705891fac","Eritrea","Eritrea","Eritrea","ERI"
"fa9e1eb4-ee4c-4b13-82dd-ec42a8b7e627","Western Sahara","República Árabe Saharaui Democrática","Sahara Occidental","ESH"
"e4d6474b-d903-4850-b51e-389f546b7601","Spain","España","España","ESP"
"b442614f-5bfa-4583-b87b-7c7c856015f1","Estonia","Estonia","Estonia","EST"
"8866fa09-8ee2-4957-ad86-4e622085ef40","Ethiopia","Etiopía","Etiopía","ETH"
"47bbb4b3-6f18-46f9-9eb6-6ec92c41fe84","Finland","Finlandia","Finlandia","FIN"
"8a83a1e5-b648-4cea-86cd-7affaea817a7","Fiji","Fiyi","Fiji","FJI"
"8c667c52-70b6-447a-b4f2-dfa2d759d5f6","Falkland Islands","Islas Malvinas","Malvinas [Falkland], (las) Islas","FLK"
"4c49d9d3-6bc3-481a-93c6-c8156cba25fe","France","Francia","Francia","FRA"
"0b2933ea-cee6-4611-b52b-09d6fcdbcf9d","Faeroe Islands","Islas Feroe","Feroe, (las) Islas","FRO"
"70a91b6f-f196-4051-afdb-4e9aeaca490d","Micronesia","Micronesia","Micronesia (Estados Federados de)","FSM"
"d285a9f8-4349-4428-a848-c9aa45c4c8ab","Gabon","Gabón","Gabón","GAB"
"5364e352-926f-4e07-9abb-2deea19346ec","United Kingdom","Reino Unido","Reino Unido de Gran Bretaña e Irlanda del Norte (el)","GBR"
"af3f8bd9-1f5e-42cf-a0cc-f9199ab1bb89","Georgia","Georgia","Georgia","GEO"
"28d26acf-55d3-4419-aa63-f5867d247872","Guernsey","Guernsey","Guernsey","GGY"
"d4cf6c57-98ee-43b8-8d92-b510371dd151","Ghana","Ghana","Ghana","GHA"
"46764ae0-2d8d-461e-89d0-a1953edef02f","Gibraltar","Gibraltar","Gibraltar","GIB"
"1b3cf756-b0c2-4e14-88af-d260b937d01f","Guinea","Guinea","Guinea","GIN"
"2559330d-f79b-4273-b6db-e47abce1de6c","Guadeloupe","Guadalupe","Guadeloupe","GLP"
"3dcc7fea-7785-4254-9947-f724e27a76fc","The Gambia","Gambia","Gambia (la)","GMB"
"2dbf1dc1-7428-4284-9090-8785a30f4e71","Guinea-Bissau","Guinea-Bisáu","Guinea Bissau","GNB"
"7d0cee2b-086a-465e-afc3-0216bff7fd19","Equatorial Guinea","Guinea Ecuatorial","Guinea Ecuatorial","GNQ"
"5b7c78d1-f068-4c4d-b2c9-9ac075b7169a","Greece","Grecia","Grecia","GRC"
"dda637e3-7742-4faf-bc05-e5d2c2d86a52","Grenada","Granada","Granada","GRD"
"34bbe398-e0da-40bd-b16b-34a2e9fd3cc2","Greenland","Groenlandia","Groenlandia","GRL"
"54040dec-6f42-48cc-93d8-8b283b23e530","Guatemala","Guatemala","Guatemala","GTM"
"38ba5ec2-913b-4894-a5bf-d55f3bd9d7a0","French Guiana","Guayana Francesa","Guayana Francesa","GUF"
